u b v r i+ z++ vista_y vista_j vista_h vista_k irac_1 irac_2 Z_SIM
23.8483 23.48223 22.95137 22.30308 21.59237 21.28168 21.1413 20.89345 20.56829 20.4192 20.56789 21.00883 0.61944
24.56532 24.33261 23.98482 23.42544 22.84315 22.61001 22.50516 22.3126 22.08616 21.97789 22.2048 22.61877 0.61685
26.36965 26.01733 25.52644 24.87221 24.19723 23.9182 23.79088 23.55057 23.1924 23.02846 23.15428 23.62811 0.61582
26.98348 26.52049 25.71583 24.99039 24.26416 23.95557 23.83034 23.61017 23.4071 23.31341 23.59283 24.00145 0.61371
24.53174 24.29348 23.95374 23.41063 22.83209 22.57063 22.45688 22.22515 21.93509 21.81162 22.00462 22.4337 0.60663
24.44317 24.06028 23.45849 22.80583 22.02613 21.63695 21.47877 21.17215 20.80186 20.6463 20.79994 21.24463 0.60074
25.23158 25.00267 24.56559 23.9164 23.31403 23.07052 22.9697 22.76797 22.54502 22.43906 22.69285 23.09809 0.59697
29.69765 28.3787 27.02861 26.28018 25.34247 24.90596 24.73591 24.42821 24.15922 24.05226 24.30027 24.70651 0.5941
26.91758 26.5744 26.01195 25.32588 24.70063 24.44301 24.33594 24.12598 23.90577 23.81222 24.09155 24.49355 0.58562
23.14278 22.80037 22.32108 21.6563 21.03061 20.75064 20.6356 20.40322 20.13877 20.01286 20.2586 20.65535 0.57904
23.55501 22.97411 22.31558 21.57456 20.88127 20.56335 20.43096 20.1687 19.85325 19.71347 19.91905 20.32321 0.57726
24.72101 24.43014 23.96274 23.30535 22.7131 22.45752 22.34896 22.13686 21.91235 21.81023 22.09723 22.48723 0.57161
25.81673 25.47591 24.92221 24.21413 23.63432 23.39339 23.29278 23.09998 22.90054 22.8077 23.1221 23.51113 0.56738
25.52505 25.40433 25.11306 24.56702 24.057 23.81242 23.70799 23.50092 23.28811 23.19551 23.51464 23.90188 0.56025
24.94491 24.27347 23.46623 22.6634 21.96611 21.64321 21.51291 21.26163 20.9444 20.81243 21.05224 21.4537 0.55663
24.16961 23.94848 23.59345 22.98088 22.53081 22.33456 22.24886 22.07343 21.86311 21.77421 22.09619 22.47143 0.55104
29.92309 28.39777 27.0701 26.25024 25.31744 24.86855 24.70282 24.38651 24.06317 23.94076 24.21289 24.60089 0.54622
25.8953 25.41824 24.69623 23.95244 23.2879 22.96686 22.84011 22.59862 22.326 22.21487 22.51474 22.89755 0.54474
25.7993 25.66689 25.33389 24.79196 24.25601 23.9742 23.85684 23.61965 23.37915 23.28219 23.60625 23.98152 0.54177
24.69046 24.3554 23.84848 23.18694 22.65263 22.38148 22.2716 22.0523 21.78484 21.67684 21.98604 22.3635 0.53587
24.94969 24.68576 24.20049 23.56263 22.9787 22.6661 22.54188 22.28407 21.97912 21.8651 22.15721 22.54345 0.53038
23.5394 23.06423 22.38523 21.64885 21.03086 20.69624 20.56069 20.2903 19.93421 19.7983 20.06319 20.45512 0.52291
26.14425 25.77487 25.13065 24.43371 23.8068 23.46857 23.33454 23.07036 22.80223 22.69134 23.04563 23.40683 0.51327
22.77217 22.39302 21.8453 21.172 20.71938 20.45017 20.34282 20.10028 19.78663 19.65862 19.96514 20.32505 0.50732
23.28793 23.02048 22.53162 21.88673 21.36359 21.0497 20.92693 20.64899 20.31761 20.19378 20.51799 20.8835 0.50511
26.70846 26.18297 25.40293 24.68799 24.12881 23.81971 23.70057 23.47185 23.29016 23.19761 23.62199 23.98228 0.50357
25.31176 25.08122 24.58412 23.98333 23.62626 23.42186 23.33903 23.16665 23.01642 22.94275 23.38837 23.74679 0.49658
26.75267 25.95119 25.01398 24.21572 23.59911 23.26093 23.13231 22.86597 22.63929 22.53053 22.94282 23.2894 0.49242
23.62642 23.33154 22.79288 22.1714 21.82088 21.61963 21.54136 21.37106 21.20249 21.11734 21.55502 21.90203 0.48653
24.47117 24.17558 23.63441 22.99362 22.5639 22.28884 22.19372 21.94168 21.69157 21.58018 21.98867 22.33172 0.47967
25.00748 24.6025 23.94443 23.26531 22.80035 22.5115 22.41043 22.14816 21.9023 21.78413 22.20265 22.54047 0.47216
22.50578 22.17331 21.56938 20.9566 20.61572 20.3937 20.31487 20.10157 19.89579 19.78717 20.21543 20.54451 0.46617
23.01394 22.6988 22.10388 21.49476 21.10877 20.84986 20.75894 20.50066 20.25255 20.13176 20.56699 20.89956 0.46092
25.63801 24.98058 24.10554 23.40492 22.95062 22.67062 22.56941 22.33343 22.12644 22.01395 22.47887 22.81498 0.45644
23.56901 23.27699 22.68601 22.10188 21.71478 21.45153 21.3487 21.06529 20.81416 20.68686 21.14844 21.46713 0.44839
24.51413 23.94583 23.09718 22.43539 21.97568 21.68764 21.57286 21.31552 21.12546 21.00412 21.51149 21.83292 0.4391
24.2687 24.09771 23.5297 23.08016 22.88862 22.75636 22.69681 22.57229 22.50199 22.45534 23.03398 23.36522 0.43733
23.84962 23.45343 22.72025 22.13269 21.77002 21.52527 21.42065 21.18303 20.9861 20.86522 21.36982 21.68897 0.43418
28.07287 26.72389 25.57505 24.79722 24.18099 23.82233 23.67092 23.3774 23.19337 23.05832 23.59332 23.92074 0.43023
24.13819 22.9067 21.76628 20.94333 20.3165 19.94712 19.79326 19.463 19.19974 19.04539 19.57142 19.86588 0.42533
24.06368 23.83906 23.2082 22.74615 22.48875 22.29951 22.20877 22.00277 21.85326 21.74655 22.3166 22.62117 0.42071
25.64495 25.1948 24.39469 23.77866 23.33897 23.0506 22.92073 22.64526 22.43731 22.29245 22.84618 23.14168 0.41489
27.57567 26.40023 25.27656 24.55078 24.00075 23.67062 23.52917 23.27074 23.10834 22.97143 23.55722 23.87293 0.41275
25.07926 24.6372 23.75063 23.25168 22.94217 22.74054 22.64879 22.4823 22.37398 22.27156 22.89835 23.21088 0.40137
22.44168 22.18774 21.48287 21.03384 20.74634 20.53132 20.42142 20.15653 19.92789 19.76959 20.37299 20.63747 0.38743
24.57914 24.229 23.36269 22.94707 22.681 22.49951 22.41221 22.25396 22.16383 22.05693 22.72502 23.0401 0.37866
24.73367 24.61427 24.03653 23.68489 23.43773 23.24566 23.14322 22.92987 22.80275 22.66329 23.32332 23.61518 0.37295
24.30936 24.05436 23.2683 22.9017 22.66471 22.49516 22.40489 22.23379 22.13377 22.0116 22.68826 22.99475 0.36416
25.92533 25.40683 24.37646 23.88872 23.54068 23.30826 23.19376 22.97125 22.83418 22.68057 23.35656 23.65331 0.35633
24.75942 24.28828 23.26195 22.84907 22.56276 22.36948 22.274 22.1013 21.99947 21.8753 22.5667 22.87943 0.35161
23.67357 23.42941 22.64481 22.27551 21.98588 21.77889 21.67323 21.48534 21.37272 21.2367 21.93278 22.24366 0.34568
24.31655 23.98221 23.14582 22.6628 22.25784 21.98413 21.84203 21.56063 21.3854 21.20299 21.91482 22.18228 0.33952
23.96251 23.7821 23.06618 22.74278 22.45034 22.24303 22.12946 21.93164 21.82265 21.6802 22.4067 22.71876 0.32345
